Gas_velocity_(m/s),Liq_velocity_(m/s),Flow
0.7,0.5,Slug
0.8,0.5,Slug
1,0.5,Slug
1.44,0.5,Slug
2,0.5,Slug
2.5,0.5,Slug
3,0.5,Slug
4,0.5,Slug
0.7,0.8,Slug
0.8,0.8,Slug
1,0.8,Slug
1.44,0.8,Slug
2,0.8,Slug
2.5,0.8,Slug
3,0.8,Slug
4,0.8,Slug
0.7,1,Slug
0.8,1,Slug
1,1,Slug
1.44,1,Slug
2,1,Slug
2.5,1,Slug
3,1,Slug
4,1,Slug
0.7,1.4,Slug
0.8,1.4,Slug
1,1.4,Slug
1.44,1.4,Slug
2,1.4,Slug
2.5,1.4,Slug
3,1.4,Slug
4,1.4,Slug
0.7,1.7,Slug
0.8,1.7,Slug
1,1.7,Slug
1.44,1.7,Slug
2,1.7,Slug
2.5,1.7,Slug
3,1.7,Slug
4,1.7,Slug
0.2,0.1,Stratified
0.4,0.1,Stratified
0.7,0.1,Stratified
1,0.1,Stratified
2,0.1,Stratified
3,0.1,Stratified
0.2,0.15,Stratified
0.4,0.15,Stratified
0.7,0.15,Stratified
1,0.15,Stratified
2,0.15,Stratified
3,0.15,Stratified
0.2,0.08,Stratified
0.4,0.08,Stratified
0.7,0.08,Stratified
1,0.08,Stratified
2,0.08,Stratified
3,0.08,Stratified
4,0.08,Stratified
5,0.08,Stratified
0.2,0.06,Stratified
0.4,0.06,Stratified
0.7,0.06,Stratified
1,0.06,Stratified
2,0.06,Stratified
3,0.06,Stratified
4,0.06,Stratified
5,0.06,Stratified
0.2,0.04,Stratified
0.4,0.04,Stratified
0.7,0.04,Stratified
1,0.04,Stratified
2,0.04,Stratified
3,0.04,Stratified
4,0.04,Stratified
5,0.04,Stratified
0.2,0.03,Stratified
0.4,0.03,Stratified
0.7,0.03,Stratified
1,0.03,Stratified
2,0.03,Stratified
3,0.03,Stratified
4,0.03,Stratified
5,0.03,Stratified
20,0.3,Annular
25,0.3,Annular
30,0.3,Annular
35,0.3,Annular
40,0.3,Annular
45,0.3,Annular
50,0.3,Annular
20,0.5,Annular
25,0.5,Annular
30,0.5,Annular
35,0.5,Annular
40,0.5,Annular
45,0.5,Annular
50,0.5,Annular
20,0.7,Annular
25,0.7,Annular
30,0.7,Annular
35,0.7,Annular
40,0.7,Annular
45,0.7,Annular
50,0.7,Annular
20,1,Annular
25,1,Annular
30,1,Annular
35,1,Annular
40,1,Annular
45,1,Annular
50,1,Annular
25,2,Annular
30,2,Annular
35,2,Annular
40,2,Annular
45,2,Annular
50,2,Annular
25,3,Annular
30,3,Annular
35,3,Annular
40,3,Annular
45,3,Annular
50,3,Annular
25,4,Annular
30,4,Annular
35,4,Annular
40,4,Annular
45,4,Annular
50,4,Annular
25,0.1,Annular
30,0.1,Annular
50,0.1,Annular
